,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,duplicate_discovery_data,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity
3976,Ophiuchi 11 b,408.0,14 Jupiters,18.912,2006,https://exoplanets.nasa.gov/exoplanet-catalog/7133/ophiuchi-11-b/,Gas Giant,2006,14 Jupiters,1.1 x Jupiter,243.0 AU,20000 years,0.0
3977,PDS 70 b,370.0,3 Jupiters,12.233,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7301/pds-70-b/,Gas Giant,2018,3 Jupiters,2.72 x Jupiter,20.0 AU,119.2 years,0.19
3978,PDS 70 c,370.0,2 Jupiters,12.233,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7414/pds-70-c/,Gas Giant,2019,2 Jupiters,2.04 x Jupiter,34.0 AU,227.5 years,0.11
3979,PH1 b,3262.0,0.531 Jupiters,13.699,2012,https://exoplanets.nasa.gov/exoplanet-catalog/5113/ph1-b/,Neptune-like,2012,0.531 Jupiters,0.551 x Jupiter,0.652 AU,138.3 days,0.07
3980,PH2 b,1133.0,80 Jupiters,12.581,2013,https://exoplanets.nasa.gov/exoplanet-catalog/1215/ph2-b/,Gas Giant,2013,80 Jupiters,0.903 x Jupiter,0.828 AU,282.5 days,0.41
3981,Pi Mensae c,60.0,4.82 Earths,5.67,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7271/pi-mensae-c/,Neptune-like,2018,4.82 Earths,2.042 x Earth,0.06839 AU,6.3 days,0.0
3982,POTS-1 b,3914.0,2.31 Jupiters,17.94,2013,https://exoplanets.nasa.gov/exoplanet-catalog/5114/pots-1-b/,Gas Giant,2013,2.31 Jupiters,0.941 x Jupiter,0.03734 AU,3.2 days,0.0
3983,Pr0201 b,592.0,0.54 Jupiters,10.52,2012,https://exoplanets.nasa.gov/exoplanet-catalog/5116/pr0201-b/,Gas Giant,2012,0.54 Jupiters,1.27 x Jupiter,0.06 AU,4.4 days,0.0
3984,Pr0211 b,599.0,1.88 Jupiters,12.06,2012,https://exoplanets.nasa.gov/exoplanet-catalog/5044/pr0211-b/,Gas Giant,2012,1.88 Jupiters,1.2 x Jupiter,0.03176 AU,2.1 days,0.01
3985,Pr0211 c,599.0,7.79 Jupiters,12.06,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4893/pr0211-c/,Gas Giant,2016,7.79 Jupiters,1.12 x Jupiter,5.5 AU,13.3 years,0.71
